"species" "Lineage_Name" "parasiteGenus" "continent" "country" "Migratory_Status"
"Turdus migratorius" "TUMIG06" "Haemoproteus" "Unknown" "Unknown Country" "Migratory"
"Turdus migratorius" "COLL2" "Haemoproteus" "North America" "United States" "Migratory"
"Turdus migratorius" "TUMIG06" "Haemoproteus" "North America" "United States" "Migratory"
"Turdus migratorius" "TUMIG08" "Haemoproteus" "North America" "United States" "Migratory"
"Turdus migratorius" "POEATR01" "Haemoproteus" "North America" "United States" "Migratory"
"Turdus migratorius" "TUMIG18" "Leucocytozoon" "North America" "United States" "Migratory"
"Turdus migratorius" "TUMIG17" "Leucocytozoon" "North America" "United States" "Migratory"
"Turdus migratorius" "TUMIG20" "Leucocytozoon" "North America" "United States" "Migratory"
"Turdus migratorius" "TUMIG21" "Haemoproteus" "North America" "United States" "Migratory"
"Turdus migratorius" "TUMIG11" "Leucocytozoon" "North America" "United States" "Migratory"
"Turdus migratorius" "TUMIG11" "Leucocytozoon" "North America" "United States" "Migratory"
"Turdus migratorius" "TUMIG15" "Leucocytozoon" "North America" "United States" "Migratory"
"Turdus migratorius" "TUMIG10" "Haemoproteus" "North America" "United States" "Migratory"
"Turdus migratorius" "TUMIG16" "Leucocytozoon" "North America" "United States" "Migratory"
"Turdus migratorius" "TUMIG1" "Plasmodium" "North America" "United States" "Migratory"
"Turdus migratorius" "TUMIG11" "Leucocytozoon" "North America" "United States" "Migratory"
"Turdus mupinensis" "TUCHR01" "Haemoproteus" "Asia" "China" "Migratory"
"Turdus mupinensis" "COLL2" "Haemoproteus" "Asia" "China" "Migratory"
"Turdus naumanni" "TURNAU01" "Leucocytozoon" "Asia" "Japan" "Migratory"
"Turdus nigriceps" "TROAED20" "Haemoproteus" "South America" "Ecuador" "Tropical_resident"
"Turdus obscurus" "TUOBS01" "Leucocytozoon" "Asia" "Russia" "Migratory"
"Turdus olivaceofuscus" "TUROLI05" "Haemoproteus" "Africa" "São Tomé and Príncipe" "Tropical_resident"
"Turdus olivaceofuscus" "TUROLI09" "Leucocytozoon" "Africa" "São Tomé and Príncipe" "Tropical_resident"
"Turdus olivaceofuscus" "TUROLI11" "Plasmodium" "Africa" "São Tomé and Príncipe" "Tropical_resident"
"Turdus olivaceofuscus" "TUROLI08" "Leucocytozoon" "Africa" "São Tomé and Príncipe" "Tropical_resident"
"Turdus olivaceofuscus" "TUROLI12" "Plasmodium" "Africa" "São Tomé and Príncipe" "Tropical_resident"
"Turdus olivaceofuscus" "TUROLI04" "Plasmodium" "Africa" "São Tomé and Príncipe" "Tropical_resident"
"Turdus olivaceofuscus" "TUROLI06" "Leucocytozoon" "Africa" "São Tomé and Príncipe" "Tropical_resident"
"Turdus olivaceofuscus" "TUROLI02" "Plasmodium" "Africa" "São Tomé and Príncipe" "Tropical_resident"
"Turdus olivaceofuscus" "TUROLI10" "Leucocytozoon" "Africa" "São Tomé and Príncipe" "Tropical_resident"
"Turdus olivaceofuscus" "TUROLI01" "Plasmodium" "Africa" "São Tomé and Príncipe" "Tropical_resident"
"Turdus olivaceofuscus" "CRIRUF01" "Haemoproteus" "Africa" "São Tomé and Príncipe" "Tropical_resident"
"Turdus olivaceofuscus" "TUROLI03" "Plasmodium" "Africa" "São Tomé and Príncipe" "Tropical_resident"
"Turdus olivater" "TUOLI01" "Plasmodium" "South America" "Colombia" "Tropical_resident"
"Turdus pallidus" "BT7" "Plasmodium" "Asia" "Japan" "Migratory"
"Turdus pallidus" "TURPAL01" "Plasmodium" "Asia" "Japan" "Migratory"
"Turdus pallidus" "TUCHR01" "Haemoproteus" "Asia" "Japan" "Migratory"
"Turdus pelios" "AFTRU07" "Plasmodium" "Africa" "Gabon" "Tropical_resident"
"Turdus pelios" "AFTRU08" "Plasmodium" "Africa" "Cameroon" "Tropical_resident"
"Turdus pelios" "AFTRU09" "Plasmodium" "Africa" "Cameroon" "Tropical_resident"
"Turdus pelios" "AFTRU06" "Haemoproteus" "Africa" "Gabon" "Tropical_resident"
"Turdus pelios" "AFTRU1" "Leucocytozoon" "Africa" "Nigeria" "Tropical_resident"
"Turdus pelios" "AFTRU1" "Leucocytozoon" "Africa" "Nigeria" "Tropical_resident"
"Turdus pelios" "AFTRU2" "Leucocytozoon" "Africa" "Nigeria" "Tropical_resident"
"Turdus pelios" "AFTRU09" "Plasmodium" "Africa" "Equatorial Guinea" "Tropical_resident"
"Turdus pelios" "AFTRU3" "Leucocytozoon" "Africa" "Nigeria" "Tropical_resident"
"Turdus pelios" "AFTRU3" "Leucocytozoon" "Africa" "Nigeria" "Tropical_resident"
"Turdus pelios" "AFTRU4" "Plasmodium" "Africa" "Nigeria" "Tropical_resident"
"Turdus pelios" "AFTRU2" "Leucocytozoon" "Africa" "Nigeria" "Tropical_resident"
"Turdus pelios" "AFTRU4" "Plasmodium" "Africa" "Gabon" "Tropical_resident"
"Turdus pelios" "ILABY01" "Haemoproteus" "Africa" "Equatorial Guinea" "Tropical_resident"
"Turdus pelios" "TURPEL01" "Leucocytozoon" "Africa" "Equatorial Guinea" "Tropical_resident"
