#no	Lineage_Name	Alt_Lineage_Name	parasiteGenus	order	family	genus	species	subspecies	Host_Status	Host_Age	Host_Environment	continent	country	region	site	coordinates	found	tested	Reference_Name	comment
8982	TUFAL05	JFL2	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus falcklandii	 	Resident	Unknown	Wild	South America	Chile	 	Robinson Crusoe Island	-33°28.00000', -078°50.00000'	2	8	Martinez et al 2015	 
8983	TUFAL06	JFL3	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus falcklandii	 	Resident	Unknown	Wild	South America	Chile	 	Robinson Crusoe Island	-33°28.00000', -078°50.00000'	2	8	Martinez et al 2015	 
8985	TULEU01	TULEU01	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus amaurochalinus	 	 	 	Wild	South America	Brazil	 	Jequitinhonha	-16°26.00000', -041°00.00000'	1	 	Lacorte et al 2013	 
8986	TULEU01	TULEU01	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus leucomelas	 	 	 	Wild	South America	Brazil	 	Caratinga	-19°47.00000', -042°08.00000'	1	 	Lacorte et al 2013	 
8987	TULEU01	TULEU01	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus leucomelas	 	 	 	Wild	South America	Brazil	 	Felixlandia	-18°43.00000', -045°03.00000'	4	 	Lacorte et al 2013	 
8988	TULEU01	TULEU01	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus leucomelas	 	 	 	Wild	South America	Brazil	 	Jequitinhonha	-16°26.00000', -041°00.00000'	1	 	Lacorte et al 2013	 
8989	TULEU01	TULEU01	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus leucomelas	 	 	 	Wild	South America	Brazil	 	Brasilandia de Minas	-17°01.00000', -045°54.00000'	2	 	Lacorte et al 2013	 
8992	TULEU02	TULEU02	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus leucomelas	 	 	 	Wild	South America	Brazil	 	Caratinga	-19°47.00000', -042°08.00000'	1	 	Lacorte et al 2013	 
8993	TULEU02	TULEU02	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus leucomelas	 	 	 	Wild	South America	Brazil	 	Felixlandia	-18°43.00000', -045°03.00000'	1	 	Lacorte et al 2013	 
8994	TULEU03	TULEU03	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus leucomelas	 	 	 	Wild	South America	Brazil	 	Felixlandia	-18°43.00000', -045°03.00000'	3	 	Lacorte et al 2013	 
8995	TULEU03	 	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus leucomelas	 	Resident	Adult	Wild	South America	Brazil	 	Jauru	-14°52.00000', -059°00.00000'	 	 	Fecchio et al 2017b	 
8996	TULEU04	TULEU04	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus leucomelas	 	 	 	Wild	South America	Brazil	 	Felixlandia	-18°43.00000', -045°03.00000'	2	 	Lacorte et al 2013	 
8997	TULEU05	TULEU05	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus leucomelas	 	 	 	Wild	South America	Brazil	 	Felixlandia	-18°43.00000', -045°03.00000'	1	 	Lacorte et al 2013	 
8999	TULEU06	TULEU06	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus leucomelas	 	 	 	Wild	South America	Brazil	 	Jequitinhonha	-16°26.00000', -041°00.00000'	1	 	Lacorte et al 2013	 
9000	TULEU06	TULEU06	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus leucomelas	 	 	 	Wild	South America	Brazil	 	Bocaiuva	-17°23.00000', -043°53.00000'	2	 	Lacorte et al 2013	 
9001	TULEU06	 	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus leucomelas	 	Resident	Adult	Wild	South America	Brazil	 	Jauru	-14°52.00000', -059°00.00000'	 	 	Fecchio et al 2017b	 
9002	TULEU06	 	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus leucomelas	 	Resident	Unknown	Wild	South America	Brazil	 	Cerrado	-15°32.00000', -047°33.00000'	 	 	Fecchio et al 2017a	 
9003	TULEU06	TLSB1096,TLJB34	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus leucomelas	 	Resident	Unknown	Wild	South America	Brazil	Minas Gerais	Juiz de Fora	-21°43.00000', -043°22.00000'	 	 	Tostes et al 2018	 
9004	TULEU07	TULEU07	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus leucomelas	 	 	 	Wild	South America	Brazil	 	Felixlandia	-18°43.00000', -045°03.00000'	1	 	Lacorte et al 2013	 
9005	TULEU07	TULEU07	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus amaurochalinus	 	 	 	Wild	South America	Brazil	 	Felixlandia	-18°43.00000', -045°03.00000'	1	 	Lacorte et al 2013	 
9006	TULEU08	TULEU08	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus leucomelas	 	 	 	Wild	South America	Brazil	 	Jequitinhonha	-16°26.00000', -041°00.00000'	1	 	Lacorte et al 2013	 
9007	TUMER01	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus merula	 	 	 	Wild	Europe	Portugal	Azores	 	 	 	 	Hellgren et al unpubl 2	 
9009	TUMER01	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus merula	 	 	 	Wild	Europe	Portugal	Azores	Sao Miguel	37°42.00000', -025°30.00000'	5	47	Hellgren et al 2011	 
9010	TUMER01	H139,H236	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus merula	 	Resident	Adult	Wild	Africa	Morocco	 	 	 	4	13	Mata et al 2015	 
9011	TUMER01	H139,H236	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus merula	 	Resident	Adult + Juvenile	Wild	Europe	Portugal	 	 	 	7	60	Mata et al 2015	 
9012	TUMER02	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus merula	 	 	 	Wild	Europe	Portugal	Azores	 	 	 	 	Hellgren et al unpubl 2	 
9013	TUMER02	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus merula	 	 	 	Wild	Europe	Portugal	Azores	Sao Miguel	37°42.00000', -025°30.00000'	3	47	Hellgren et al 2011	 
9014	TUMER02	H234	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus merula	 	Resident	Adult + Juvenile	Wild	Africa	Morocco	 	 	 	4	13	Mata et al 2015	 
9015	TUMER02	H234	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus merula	 	Resident	Adult	Wild	Europe	Portugal	 	 	 	1	60	Mata et al 2015	 
9016	TUMER03	H140	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus merula	 	Resident	Adult	Wild	Europe	Portugal	 	 	 	1	60	Mata et al 2015	 
9017	TUMER04	H233	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus merula	 	Resident	Adult	Wild	Africa	Morocco	 	 	 	1	13	Mata et al 2015	 
9018	TUMER05	H238	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus merula	 	Resident	Adult	Wild	Africa	Morocco	 	 	 	1	13	Mata et al 2015	 
9019	TUMER06	H273	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus merula	 	Resident	Juvenile	Wild	Europe	Portugal	 	 	 	1	60	Mata et al 2015	 
9020	TUMER07	H274	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus merula	 	Resident	Juvenile	Wild	Europe	Portugal	 	 	 	1	60	Mata et al 2015	 
9021	TUMER08	H375	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus merula	 	Resident	Adult	Wild	Europe	Portugal	 	 	 	1	60	Mata et al 2015	 
9022	TUMER09	Leucocytozoon dubreuili clone L76.13CB 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus merula	 	Migratory	Unknown	Wild	Europe	Lithuania	 	 	 	 	 	Pacheco et al 2017	 
9023	TUMIG02	 	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	 	 	Wild	North America	United States	 	 	 	 	 	Martinsen et al 2007	 
9024	TUMIG03	 	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	 	 	Wild	North America	United States	 	 	 	 	 	Martinsen et al 2007	 
9025	TUMIG03	48	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	 	 	Wild	North America	United States	Missouri	 	 	 	 	Ricklefs & Fallon 2002	 
9026	TUMIG03	ChP2	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus falcklandii	 	 	 	Wild	South America	Chile	 	 	 	 	 	Merino et al 2008	 
9027	TUMIG03	16	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus rufiventris	 	 	 	Wild	South America	Uruguay	 	 	 	 	 	Durrant et al 2006	 
9029	TUMIG03	TUMIG03	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus amaurochalinus	 	 	 	Wild	South America	Brazil	 	Nova Lima	-19°59.00000', -043°50.00000	1	 	Lacorte et al 2013	 
9030	TUMIG03	TUMIG03	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus amaurochalinus	 	 	 	Wild	South America	Brazil	 	Felixlandia	-18°43.00000', -045°03.00000'	4	 	Lacorte et al 2013	 
9031	TUMIG03	TUMIG03	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus amaurochalinus	 	 	 	Wild	South America	Brazil	 	Bocaiuva	-17°23.00000', -043°53.00000'	1	 	Lacorte et al 2013	 
9040	TUMIG03	ChP2	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus falcklandii	 	Resident	Unknown	Wild	South America	Chile	 	Robinson Crusoe Island	-33°28.00000', -078°50.00000'	7	8	Martinez et al 2015	 
9042	TUMIG03	AMRO_CA_ELW_11P	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	Migratory	Unknown	Wild	North America	United States	California	China Creek Park	36°44.00000', -119°29.00000'	1	2	Walther et al 2016a	 
9043	TUMIG03	 	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus amaurochalinus	 	Resident	Unknown	Wild	South America	Brazil	 	COM	-13°48.00000', -059°41.00000'	 	 	Fecchio et al 2017a	 
9048	TUMIG03	 	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	Unknown	Unknown	Wild	North America	United States	Michigan	 	 	 	 	Smith et al 2017	 
9049	TUMIG03	TRJB483	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus rufiventris	 	Resident	Unknown	Wild	South America	Brazil	Minas Gerais	Juiz de Fora	-21°43.00000', -043°22.00000'	 	 	Tostes et al 2018	 
9050	TUMIG04	 	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	 	 	Wild	North America	United States	 	 	 	 	 	Martinsen et al 2007	 
9051	TUMIG05	 	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	 	 	Wild	North America	United States	 	 	 	 	 	Martinsen et al 2007	 
9053	TUMIG06	Par_bird_sp_2	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	 	 	Wild	Unknown	Unknown Country	 	 	 	 	 	Outlaw & Ricklefs 2009	 
9054	TUMIG06	 	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	Unknown	Unknown	Wild	North America	United States	Michigan	 	 	 	 	Smith et al 2017	 
9055	TUMIG07	H.AK01,H.AK17	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	Migratory	Unknown	Wild	North America	United States	Alaska	Fairbanks	64°52.00000', -147°44.00000'	 	 	Oakgrove et al 2014	 
9058	TUMIG08	H.AK02	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	Migratory	Unknown	Wild	North America	United States	Alaska	Fairbanks	64°52.00000', -147°44.00000'	 	 	Oakgrove et al 2014	 
9062	TUMIG08	 	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	Migratory	Adult	Wild	North America	United States	Alaska	Denali Highway near Seattle Creek	63°19.43100', -148°13.90860'	3	8	Galen et al unpubl	 
9063	TUMIG08	 	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	Migratory	Adult	Wild	North America	United States	Alaska	Denali Highway Corkscrew Creek	63°02.32860', -147°00.22320'	1	2	Galen et al unpubl	 
